UV-B,PRR,survival
NA,dark control,0.8
NA,dark control,0.75
NA,dark control,0.5
NA,dark control,0.25
NA,dark control,0.25
NA,dark control,0
NA,dark control,0.5
NA,dark control,0.5
0.668,PRR+,0.5
0.668,PRR+,0.25
0.668,PRR+,0
0.668,PRR+,0
0.668,PRR+,0
0.668,PRR+,0
0.668,PRR+,0
0.668,PRR+,0
1.67,PRR+,0
1.67,PRR+,0
1.67,PRR+,0.25
1.67,PRR+,0
1.67,PRR+,0.25
1.67,PRR+,0
1.67,PRR+,0.2
1.67,PRR+,0.2
3.5,PRR+,0.2
3.5,PRR+,0.25
3.5,PRR+,0
3.5,PRR+,0
3.5,PRR+,0
3.5,PRR+,0
3.5,PRR+,0
3.5,PRR+,0
4.3,PRR+,0
4.3,PRR+,0
4.3,PRR+,0
4.3,PRR+,0
4.3,PRR+,0
4.3,PRR+,0
4.3,PRR+,0
4.3,PRR+,0
6.1,PRR+,0
6.1,PRR+,0
6.1,PRR+,0
6.1,PRR+,0
6.1,PRR+,0
6.1,PRR+,0
6.1,PRR+,0
6.1,PRR+,0
7.3,PRR+,0
7.3,PRR+,0.2
7.3,PRR+,0
7.3,PRR+,0.25
7.3,PRR+,0
7.3,PRR+,0
7.3,PRR+,0
7.3,PRR+,0
8.8,PRR+,0
8.8,PRR+,0
8.8,PRR+,0
8.8,PRR+,0
8.8,PRR+,0
8.8,PRR+,0
8.8,PRR+,0.25
8.8,PRR+,0
10.7,PRR+,0
10.7,PRR+,0
10.7,PRR+,0
10.7,PRR+,0
10.7,PRR+,0
10.7,PRR+,0
10.7,PRR+,0
10.7,PRR+,0
12.4,PRR+,0
12.4,PRR+,0
12.4,PRR+,0
12.4,PRR+,0.2
12.4,PRR+,0
12.4,PRR+,0
12.4,PRR+,0
12.4,PRR+,0
15.4,PRR+,0
15.4,PRR+,0
15.4,PRR+,0
15.4,PRR+,0
15.4,PRR+,0
15.4,PRR+,0
15.4,PRR+,0
15.4,PRR+,0
NA,dark control,0.2
NA,dark control,0.333333333
NA,dark control,0.4
NA,dark control,0.666666667
NA,dark control,0.5
NA,dark control,0.5
NA,dark control,0.5
NA,dark control,0.5
0.668,PRR-,0.6
0.668,PRR-,0.5
0.668,PRR-,0.25
0.668,PRR-,0.333333333
0.668,PRR-,0.6
0.668,PRR-,0.6
0.668,PRR-,0.4
0.668,PRR-,0.2
1.67,PRR-,0.4
1.67,PRR-,0.5
1.67,PRR-,0.333333333
1.67,PRR-,0.25
1.67,PRR-,0.25
1.67,PRR-,0.333333333
1.67,PRR-,0.5
1.67,PRR-,0.333333333
3.5,PRR-,1
3.5,PRR-,0.5
3.5,PRR-,0.333333333
3.5,PRR-,0.333333333
3.5,PRR-,0.5
3.5,PRR-,0
3.5,PRR-,0.5
3.5,PRR-,0.75
4.3,PRR-,0
4.3,PRR-,0.333333333
4.3,PRR-,0
4.3,PRR-,0.333333333
4.3,PRR-,1
4.3,PRR-,0
4.3,PRR-,0.5
4.3,PRR-,0.666666667
6.1,PRR-,0
6.1,PRR-,0.4
6.1,PRR-,0.5
6.1,PRR-,0.5
6.1,PRR-,0.333333333
6.1,PRR-,0.5
6.1,PRR-,0.6
6.1,PRR-,0.2
7.3,PRR-,0
7.3,PRR-,0.8
7.3,PRR-,0.25
7.3,PRR-,0.2
7.3,PRR-,0
7.3,PRR-,0
7.3,PRR-,0
7.3,PRR-,0.25
8.8,PRR-,0.5
8.8,PRR-,0.25
8.8,PRR-,0.666666667
8.8,PRR-,0.6
8.8,PRR-,0
8.8,PRR-,0.2
8.8,PRR-,0
8.8,PRR-,0.4
10.7,PRR-,0
10.7,PRR-,0.6
10.7,PRR-,0.4
10.7,PRR-,0.2
10.7,PRR-,0.333333333
10.7,PRR-,0
10.7,PRR-,0.4
10.7,PRR-,0.4
12.4,PRR-,0
12.4,PRR-,0
12.4,PRR-,0.25
12.4,PRR-,0.4
12.4,PRR-,0
12.4,PRR-,0.2
12.4,PRR-,0
12.4,PRR-,0
15.4,PRR-,0
15.4,PRR-,0
15.4,PRR-,0
15.4,PRR-,0.2
15.4,PRR-,0
15.4,PRR-,0
15.4,PRR-,0
15.4,PRR-,0.2
